Předjíždíte jezdce na koni. Před zahájením předjíždění:|C|Zvýšíte rychlost jízdy a použijete světelné výstražné znamení; znamení o změně směru jízdy nepoužijete.|Snížíte rychlost jízdy a použijete zvukové výstražné znamení.|Vezmete v úvahu možnost úleku zvířete a jeho vběhnutí do Vaší jízdní dráhy.
Vozidlem se pro účely provozu na pozemních komunikacích rozumí:|B|Pouze nekolejové vozidlo poháněné vlastní pohonnou jednotkou.|Každé motorové vozidlo, nemotorové vozidlo i tramvaj.|Pouze autobus, trolejbus nebo tramvaj.
Podél tramvaje se jezdí:|B|Vpravo; vlevo se smí jet pouze tehdy, když v protisměru nejede žádná tramvaj nebo jiné vozidlo.|Vpravo, pokud není dopravní značkou "Objíždění tramvaje" povolena jízda vlevo.|Vlevo.
Řidiči je na dálnici a na silnici pro motorová vozidla zakázáno:|A|Otáčení, couvání a vjíždění na střední dělicí pás včetně míst, kde je pás přerušen.|Couvání; vjíždění na střední dělicí pás a otáčení je dovoleno jen v místech, kde je tento pás přerušen.|Otáčení; couvání a vjíždění na střední dělicí pás je dovoleno jen v místech, kde tento pás není přerušen.
Řidič nesmí zastavit a stát:|C|V obci na křižovatce tvaru "T" na protější straně vyúsťující pozemní komunikace.|Na křižovatce a ve vzdálenosti kratší než 3 m před hranicí křižovatky a 3 m za ní.|Na křižovatce a ve vzdálenosti kratší než 5 m před hranicí křižovatky a 5 m za ní; tento zákaz neplatí v obci na křižovatce tvaru "T" na protější straně vyúsťující pozemní komunikace.
U vlečeného vozidla musí být za snížené viditelnosti rozsvícena:|A|Obrysová nebo potkávací světla a při poruše těchto světel musí být vlečené vozidlo na straně ke středu vozovky osvětleno vpředu neoslňujícím bílým světlem a vzadu červeným světlem.|Obrysová nebo potkávací světla a při poruše těchto světel musí být vozidlo na straně ke středu vozovky osvětleno vpředu červeným přerušovaným světlem.|Obrysová světla spolu se zapnutým výstražným světelným zařízením; při poruše obrysových světel lze užít výstražné světelné zařízení samostatně.
Ve výhledu z motorového vozidla vidíte děti, které si hrají na chodníku. Jak se zachováte?|A|Budete s ohledem na možné vběhnutí dětí do vozovky připraven(a) brzdit a podle okolností snížíte rychlost jízdy.|Protože jsou děti na chodníku, nemáte důvod ke zvýšení opatrnosti ani ke změně způsobu jízdy.|Z dostatečné vzdálenosti upozorníte hrající si děti na možné nebezpečí zvukovým výstražným znamením.
Řidič vozidla, které je vybaveno zvláštním výstražným světlem oranžové barvy, smí tohoto světla užívat:|C|Pouze za snížené viditelnosti, například za deště, tmy nebo sněžení, byla-li by jeho jízdou ohrožena bezpečnost.|Vždy, i když není ohrožena bezpečnost provozu na pozemních komunikacích nebo jeho pracovní činnost.|Pokud by jeho jízdou nebo pracovní činností mohla být ohrožena bezpečnost provozu na pozemních komunikacích.
Řidič vozidla, které je vybaveno zvláštním výstražným světlem oranžové barvy, smí tohoto světla užívat:|C|Pouze za snížené viditelnosti, například za deště, tmy nebo sněžení, pokud by jeho jízdou byla ohrožena bezpečnost provozu na pozemních komunikacích.|Je-li nutné upozornit ostatní účastníky provozu na hrozící nebezpečí, například při nutnosti náhle snížit rychlost jízdy nebo zastavit vozidlo.|Pokud by jeho jízdou nebo pracovní činností mohla být ohrožena bezpečnost provozu na pozemních komunikacích.
Co se rozumí pod pojmem "defenzivní způsob jízdy"?|A|Počítat s chybami ostatních účastníků provozu na pozemních komunikacích.|Trvat na svém právu vyplývajícím ze zákona o provozu na pozemních komunikacích.|Opatrně zastavit na každé křižovatce.
Dálnice, silnice a místní komunikace jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel přizpůsobený:|A|Stavebnímu stavu a dopravně technickému stavu těchto pozemních komunikací a povětrnostním situacím a jejich důsledkům.|Schopnostem řidiče reagovat na nenadálé situace v silničním provozu.|Jízdním vlastnostem vozidla užitého řidičem v silničním provozu.
Silnice jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel přizpůsobený:|A|Stavebnímu stavu a dopravně technickému stavu silnic a povětrnostním situacím a jejich důsledkům.|Stavebnímu a dopravně technickému stavu silnice, bez ohledu na povětrnostní podmínky.|Možnostem finančního krytí investic z prostředků správce dané pozemní komunikace.
Místní komunikace jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel:|A|Přizpůsobený stavebnímu stavu a dopravně technickému stavu silnic a povětrnostním situacím a jejich důsledkům.|Za mlhy, deště nebo hustého sněžení.|Za snížené viditelnosti.
Závadou ve sjízdnosti dálnice se rozumí taková změna v její sjízdnosti, kterou:|A|Nemůže řidič vozidla předvídat při pohybu vozidla přizpůsobeném stavebnímu stavu a dopravně technickému stavu dálnice a povětrnostním situacím a jejich důsledkům.|Řidič nemohl zjistit z dopravního zpravodajství.|Kterou vyvolal hustý provoz na dálnici.
Závadou ve sjízdnosti silnice se rozumí taková změna v její sjízdnosti, kterou:|A|Nemůže řidič vozidla předvídat při pohybu vozidla přizpůsobeném stavebnímu stavu a dopravně technickému stavu silnice a povětrnostním situacím a jejich důsledkům.|Vyvolal uježděný sníh ležící na vozovce.|Mohl řidič při náležité obezřetnosti předvídat.
Které z následujících motorových vozidel smíte řídit na základě řidičského oprávnění skupiny D:|A|Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení, jehož maximální přípustná hmotnost je 3.350 kg.|Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 3.700 kg.|Motocykl o objemu válců nepřesahujícím 125 cm3 a o výkonu nejvýše 11 kW.
Které z následujících motorových vozidel nesmíte řídit s řidičským oprávněním skupiny B:|C|Motorové vozidlo určené pro přepravu osob, s pěti místy k sezení, jehož maximální přípustná hmotnost je 1.850 kg.|Motorové vozidlo určené pro přepravu nákladu, se třemi místy k sezení, jehož maximální přípustná hmotnost je 3.450 kg.|Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení.
Je silný dešť důvodem ke snížení rychlosti jízdy?|A|Ano, může dojít ke ztrátě přilnavosti pneumatik a prodlužuje se i brzdná dráha.|Ne, pokud mají pneumatiky alespoň minimální stanovenou hloubku dezénu.|Ano, ale jen u vozidel, která nejsou vybavena protiblokovacím systémem brzd (ABS).
Které z následujících motorových vozidel smíte řídit s řidičským oprávněním skupiny B:|A|Motorové vozidlo určené pro přepravu osob, s šesti místy k sezení, jehož maximální přípustná hmotnost je 2.200 kg.|Motocykl o objemu válců 50 cm3 a o výkonu 5 kW.|Motocykl o objemu válců 125 cm3, jehož konstrukční rychlost je 90 km/h.
Které z následujících motorových vozidel smíte řídit na základě řidičského oprávnění skupiny C:|A|Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 3.700 kg.|Motorové vozidlo určené pro přepravu osob, s patnácti místy k sezení, jehož maximální přípustná hmotnost je 6.350 kg.|Motocykl o objemu válců nepřesahujícím 125 cm3 a o výkonu nejvýše 11 kW.
Tabulku registrační značky umístí vlastník nebo provozovatel vozidla:|A|Do místa určeného konstrukčním řešením vozidla.|Na kteréhokoliv místo na přídi nebo zádi vozidla; přitom však nesmí zakrýt předepsané osvětlení vozidla.|Na kterékoliv viditelné místo na vozidle.
Tabulku registrační značky umístí vlastník nebo provozovatel vozidla:|A|Tak, aby při běžném provozu na pozemních komunikacích nedošlo k její ztrátě.|Tak, aby ani v případě vážné dopravní nehody nemohlo dojít k její ztrátě.|Tak, že ji vždy za použití šroubů nebo nýtů pevně spojí s karoserií.
Na tabulku registrační značky:|A|Nesmí být umístěny žádné nápisy nebo vyobrazení, které by narušily její čitelnost nebo rozlišovací schopnost, není-li stanoveno jinak.|Smí být umístěny pouze státní znak České republiky nebo vyobrazení státní vlajky České republiky.|Smí být umisťovány pouze předměty, jejichž plocha nepřesahuje 5 cm2.
V těsné blízkosti tabulky registrační značky:|A|Nesmí být umístěny žádné nápisy nebo vyobrazení, které by narušily její čitelnost nebo rozlišovací schopnost, není-li stanoveno jinak.|Lze umístit pouze drobné ozdobné předměty nebo nápisy, pokud jimi tabulka registrační značky není překryta.|Lze umístit pouze reklamní nápisy, které nelze zaměnit s číselným kódem na registrační značce.
V technickém průkazu silničního motorového vozidla a přípojného vozidla:|A|Není povoleno neoprávněným osobám provádět jakékoliv záznamy nebo změny.|Mohou neoprávněné osoby provádět změny pouze u údajů, u nichž je patrné, že jsou uvedeny chybně.|Může provádět změny kdokoliv, pokud to nejpozději do 30 dnů od provedení změny oznámí příslušnému obecnímu úřadu obce s rozšířenou působností.
Jestliže je vozidlo vybaveno tažným zařízením schváleným s odnímatelnou spojovací koulí bez použití nářadí, musí mít tuto kouli odejmutou, pokud:|A|Není využívána ke spojení s přípojným vozidlem či jiným zařízením.|Je vozidlo v klidu.|Nebylo tažné zařízení použito po dobu delší než 1 měsíc.
Pneumatika náhradního kola, s výjimkou kola pro nouzové dojetí:|A|Musí být nahuštěna nejméně na tlak odpovídající nejvyššímu předepsanému huštění pneumatik na vozidle.|Musí být nahuštěna na tlak odpovídající nejnižšímu předepsanému huštění pneumatik na vozidle.|Může být nahuštěna i na nižší tlak, než je předepsáno pro pneumatiky na vozidle.
Pro spojování vozidel do jízdních souprav s nebrzděným přívěsem, jehož největší přípustná hmotnost nepřevyšuje 750 kg, platí že:|C|Hmotnost přívěsu není nijak vázána na technickou specifikaci tažného vozidla.|Přívěs musí být vzadu viditelně označen symbolem dopravní značky "Jiné nebezpečí".|Okamžitá hmotnost přívěsu nesmí překročit největší povolenou hmotnost pro nebrzděné přívěsy, jež je uvedena v technickém průkazu a osvědčení o registraci konkrétního tažného vozidla.
Chodec na přechodu pro chodce signalizuje úmysl přejít vozovku mávnutím bílou slepeckou holí ve směru přecházení. Jak se zachováte?|A|Snížím rychlost jízdy nebo zastavím vozidlo před přechodem pro chodce a umožním chodci nerušené a bezpečné přejití vozovky.|Budu pokračovat v jízdě, protože nevidomý člověk  bez doprovodu nesmí přecházet vozovku.|Zvukovým výstražným znamením dám najevo, že nemůže přecházet přes vozovku a budu pokračovat v jízdě.
Krajnice je část povrchu pozemní komunikace:|B|Kde končí pozemní komunikace označená vodorovným dopravním značením (podélnou čarou souvislou).|Která leží mezi okrajem přilehlého jízdního pruhu a hranou koruny pozemní komunikace.|Kterou se rozumí nezpevněná část vozovky, která není součástí pozemní komunikace.
Při jízdě na dálnici jste se stali s vaším automobilem účastníkem dopravní nehody. V jakém pořadí budete postupovat?|A|Okamžitě zastavíte vozidlo, zabezpečíte místo nehody a poskytnete první pomoc případným poraněným.|Okamžitě zastavíte vozidlo, vyhledáte svědky nehody. První pomoc případným poraněným poskytne přivolaná lékařská záchranná služba.|Okamžitě zastavíte vozidlo, zavoláte policii, zapnete varovná světla a počkáte ve vozidle na příjezd policie a lékařské záchranné služby.
Silniční dopravou pro cizí potřeby se rozumí:|A|Doprava, při níž vzniká mezi provozovatelem silniční dopravy a osobou, jejíž přepravní potřeba se uspokojuje, závazkový vztah, jehož předmětem je přeprava osob, věcí nebo zvířat.|Doprava, jejíž předmětem je přeprava osob, věcí nebo zvířat i bez smluvního závazku.|Doprava, při níž vzniká mezi provozovatelem silniční dopravy a osobou jejíž přepravní potřeby uspokojuje závazkový vztah, jehož předmětem je pouze přeprava osob.
U parkovací brzdy vzduchotlakých brzd s pružinovým brzdovým válcem zajišťuje odbrzdění:|B|Pružina v brzdovém válci.|Tlakový vzduch v brzdovém válci.|Vypuštění tlakového vzduchu z válce.
Silniční linkovou osobní dopravou se rozumí:|A|Pravidelné poskytování přepravních služeb na určené trase dopravní cesty, při kterém cestující vystupují a nastupují na předem určených zastávkách.|Pravidelné poskytování přepravních služeb za úplatu na trase, při které cestující nastupují a vystupují na místech, která si sami určí.|Nepravidelné poskytování přepravních služeb na libovolné trase, při které cestující nastupují a vystupují na předem určených zastávkách
Účastníci dopravní nehody, při které došlo ke hmotné škodě na majetku třetí osoby, s výjimkou škody na vozidle, jehož řidič má účast na dopravní nehodě nebo škody na věci přepravované v tomto vozidle:|A|Jsou povinni vždy ohlásit tuto dopravní nehodu policistovi.|Jsou povinni ohlásit tuto dopravní nehodu policistovi pouze v případě, že je tato škoda vyšší než 100 000 Kč.|Nejsou povinni ohlásit tuto dopravní nehodu policistovi, jestliže se dohodnou na míře účasti na způsobené škodě a ohlásí nehodu pojišťovně.
